id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
47875381,Mitsubishi,Pajero Sport,2011,черный,3.0 AT Ultimate,3.0,220,бензин,АКПП,4WD,166000,No,No,No,левый,2,NaN,1500000,https://magadan.drom.ru/mitsubishi/pajero_sport/47875381.html,NaN,No,13.11.2022,75,Магадан,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/XNI8t8RIfJvv54VTnvcfMkJeePCFSXWoOXmqBhtRDo7doMQvuDXkpAQ-P8lEy4YiQgzCC2dNjWgzZ64n0DLfPnONB-W9.jpg,NaN,5060
47743525,Mitsubishi,Pajero Sport,2014,черный,3.0 AT Ultimate,3.0,222,бензин,АКПП,4WD,105000,No,No,No,левый,2,1,1950000,https://magadan.drom.ru/mitsubishi/pajero_sport/47743525.html,NaN,No,01.11.2022,188,Магадан,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/3zHAWloII7-wt4GeBdeF-KujW_IcDP0LvexcxraMj87DTDaQo9IzbH_klnX0MTUesDWJGcvNwlJxMf-3UrJjNtwXdTBj.jpg,owner,5106
47262189,Mitsubishi,Pajero Sport,2004,серебристый,3.0 AT GLS S83,3.0,170,бензин,АКПП,4WD,246698,No,No,No,левый,1,NaN,760000,https://palatka.drom.ru/mitsubishi/pajero_sport/47262189.html,NaN,No,18.10.2022,375,Палатка,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/EIQIQcSSljSNzeh90CsEu-Rem-22lBAMDdC4h4Pk3GA9JSwqxATzmnIy1U6zGr-GLFck-TeslZbcKM74-rxVNepTBukL.jpg,NaN,2550
