id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
48808737,Mitsubishi,Delica D:5,2015,черный,2.3 D Power Package Diesel Turbo 4WD (7 Seater),2.3,148,дизель,АКПП,4WD,64000,No,No,No,правый,1,NaN,1560000,https://vladivostok.drom.ru/mitsubishi/delica_d_5/48808737.html,NaN,No,16.11.2022,14,Владивосток,No,No,8.8,Yes,Yes,https://s.auto.drom.ru/photo/3reJEYL46mlr-Ur9MNJ6gx_2DBPvjQZKiXv4MPqTfVO8KY88QhugvEwEG57w22kOCpYGLHO9EzMTQEog1FOdUIj-l-QZ.jpg,NaN,2309
48151342,Mitsubishi,FTO,1994,серый,2.0 GR,2.0,170,бензин,механика,передний,260000,No,No,No,правый,1,NaN,250000,https://vladivostok.drom.ru/mitsubishi/fto/48151342.html,NaN,No,01.11.2022,647,Владивосток,No,No,8.7,Yes,Yes,https://s.auto.drom.ru/photo/-Gb88IkTep635njAfE3DX2t5UhSlTPTTdZz1Sb1HFZIm3F7i5V6Wcd9V6R2zYpGtD_14qhxNbI5O7Yf3mgNQ-iZp8AhU.jpg,NaN,2380
48553529,Mitsubishi,RVR,2014,синий,1.8 G 4WD,1.8,139,бензин,вариатор,4WD,117000,No,No,No,правый,3,1,1100000,https://vladivostok.drom.ru/mitsubishi/rvr/48553529.html,джип/suv 5 дв.,No,15.11.2022,383,Владивосток,No,No,7.8,Yes,Yes,https://s.auto.drom.ru/photo/_pRGseTJ0FVhW-3FcRdW44OesOeoTveewwiLBe14he3doWLaAaOUT2hWsxQbwNxzsWhiK9_vnDbwNjMj2LiGCnw_erE1.jpg,owner,NaN
48507984,Mitsubishi,Outlander,2018,серый,2.0 Active Gear,2.0,150,бензин,вариатор,передний,91000,No,No,No,правый,3,2,1580000,https://vladivostok.drom.ru/mitsubishi/outlander/48507984.html,NaN,Yes,13.11.2022,1616,Владивосток,No,No,8.8,Yes,Yes,https://s.auto.drom.ru/photo/h3FPbYae9DJJ3fOJkvbt6ocUH1K7fbO-hcgTshihCNMay7RvQ3RtHsCr70RkoILMdbA1HF_qYT6OJCLkwSKVfxhR87RH.jpg,NaN,2340
46272901,Mitsubishi,Delica,2005,серебристый,3.0 active field edition SE crystal lite roof,3.0,185,бензин,АКПП,4WD,148000,No,No,No,правый,4,1,860000,https://vladivostok.drom.ru/mitsubishi/delica/46272901.html,NaN,Yes,16.11.2022,9,Владивосток,No,Yes,8.1,Yes,Yes,https://s.auto.drom.ru/photo/zucpKQIdnFSiIjn3p67TwIC7EzCoEjkOwscjNjWrGrjZ6jrk0ZlK67r_Kb3GtWuqQWCN1qWZ_GXI_NnEeatp9CL5pBkx.jpg,NaN,2590
