id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
46845687,Mitsubishi,Lancer Evolution,2005,черный,NaN,2.0,280,бензин,механика,4WD,150000,No,No,No,правый,9,NaN,1949000,https://habarovsk.drom.ru/mitsubishi/lancer_evolution/46845687.html,седан,No,12.11.2022,606,Хабаровск,No,No,9.0,Yes,Yes,https://s.auto.drom.ru/photo/37vdTCO3ZEq0f20aZbln1ZJIhaZywmJ9G-zl80m91CEgi4JyUajlvKMv1eWBlJgdiwSdv278-Yi5oQ2DKRwXBCzMFul_.jpg,NaN,28000
48884143,Mitsubishi,Lancer Evolution,1999,красный,2.0 GSR Evolution VI,2.0,280,бензин,механика,4WD,90000,No,No,No,правый,6,NaN,1650000,https://habarovsk.drom.ru/mitsubishi/lancer_evolution/48884143.html,седан,No,10.11.2022,929,Хабаровск,No,No,9.0,Yes,Yes,https://s.auto.drom.ru/photo/X1Mc9e_1sd8rQ3-NYPvb600p4HRIOd-eS25hkgZvjMdFP8BM8Koum32HBgSbFEeTFW44Tk_xwibgKPEz7LlQvpvyCltQ.jpg,NaN,28000
48839865,Mitsubishi,Lancer Evolution,2009,бордовый,2.0 GSR X 4WD,2.0,300,бензин,механика,4WD,48000,No,No,No,правый,10,NaN,2500000,https://habarovsk.drom.ru/mitsubishi/lancer_evolution/48839865.html,седан,No,07.11.2022,1126,Хабаровск,No,No,9.0,Yes,Yes,https://s.auto.drom.ru/photo/ultHvJ-pdzwlcbONEMP3k6Rk4pjtMfV7leYBasgWISBGgPoIcDWyPgFI9SjDk9WcPVOcz-znGBs6SGcdX7L1aZE-Z4kQ.jpg,NaN,30000
