id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
48943924,Toyota,Mark II,2003,белый,2.0 IR,2.0,160,бензин,АКПП,задний,79000,No,No,No,правый,9,1,850000,https://moscow.drom.ru/toyota/mark_ii/48943924.html,седан,No,16.11.2022,21,Москва,No,No,8.7,Yes,No,NaN,NaN,7200
48942657,Toyota,Mark II,1989,красный,NaN,2.0,135,бензин,АКПП,задний,111111,No,No,No,правый,6,NaN,1100000,https://moscow.drom.ru/toyota/mark_ii/48942657.html,седан,No,16.11.2022,110,Москва,No,No,8.7,Yes,Yes,https://s.auto.drom.ru/photo/a8bb2jgkcJn0iCUuensrSPtK3UyMs1RmoBHkxws0UfNrnBpIU9shSg10ApbLj-Ci32O2RPkotYL_p3mLNcG-6TPvDXuC.jpg,NaN,4725
45012245,Toyota,Mark II,1982,белый,NaN,1.8,95,бензин,механика,задний,359359,No,No,No,правый,4,NaN,170000,https://moscow.drom.ru/toyota/mark_ii/45012245.html,седан,No,13.11.2022,183,Москва,No,No,8.7,Yes,Yes,https://s.auto.drom.ru/photo/v1DjimO7E1FTZFioE88Phay1oQ2H7XoBZt2NWjUP-dZdF5Y9C_AuyYmNAKFxq9drm7koFwiKkPaCFWzL-r2y1w1HuKo3.jpg,NaN,1140
