id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
48739492,BMW,X7,2021,черный,xDrive30d AT M Sport Pro,3.0,249,дизель,АКПП,4WD,2700,No,No,No,левый,1,NaN,11700000,https://moscow.drom.ru/bmw/x7/48739492.html,NaN,No,08.11.2022,990,Москва,No,No,8.9,Yes,Yes,https://s.auto.drom.ru/photo/-dtyV1950Hw1I7PxxeeSYKsUKp4thTskbE8Rj0NNQUnlbqicfTjtzkIqBfbNz8nbSG1T2FXjGycMyP7AlOo2bSN57IaG.jpg,owner,18675
48941791,BMW,X7,2019,белый,NaN,3.0,400,дизель,АКПП,4WD,69969,No,No,No,левый,1,NaN,8500000,https://moscow.drom.ru/bmw/x7/48941791.html,NaN,No,16.11.2022,18,Москва,No,No,8.9,Yes,Yes,https://s.auto.drom.ru/photo/Q52YNk0DgdngUpQaS_NDqijUcmTampLVCfgZ49K5cG18GXIo_-TWi2kStjl2arWFPUGpE5pkAPKR2UJmyyzTq_YbmvXo.jpg,NaN,60000
48941788,BMW,X7,2020,белый,M50d AT Special,3.0,400,дизель,АКПП,4WD,26439,No,No,No,левый,1,NaN,12000000,https://moscow.drom.ru/bmw/x7/48941788.html,NaN,No,16.11.2022,23,Москва,No,No,8.9,Yes,Yes,https://s.auto.drom.ru/photo/mBnUR-pTAtg2go5yPdowwUZjCWiGzOpr3y5AKwF092M3VhiMkTVh0ILfjFAk2dy6lA-Gq50seWWFyzkTpERf8XeJsH6b.jpg,NaN,60000
48941339,BMW,X7,2020,черный,NaN,3.0,249,дизель,АКПП,4WD,54466,No,No,No,левый,1,NaN,7100000,https://moscow.drom.ru/bmw/x7/48941339.html,NaN,No,16.11.2022,20,Москва,No,No,8.9,Yes,Yes,https://s.auto.drom.ru/photo/LJhjsb14YvL1BbPFrGGxbJn8sWygK5AgPlLkKIFjcLzyp3S3MeoyHbkaBdzZpfhfiu7z01jw36M6OdqFJ1srOLCQQkLi.jpg,NaN,18675
48258376,BMW,X7,2021,белый,NaN,3.0,340,дизель,АКПП,4WD,5035,No,No,No,левый,1,NaN,15390000,https://moscow.drom.ru/bmw/x7/48258376.html,NaN,No,16.11.2022,9,Москва,No,No,8.9,Yes,Yes,https://s.auto.drom.ru/photo/AHQTGC5EkCaok_2-jXdoxv-ab0ljl7qIgibzPiQ6foIlVDP7uhMduK-EkkDdHMkj10SyGTT5zxazPAPYh12_CR_iA_hL.jpg,NaN,51000
