id,brand,model,year,color,configuration,engine_volume (liters),hp,fuel_type,gear_type,сhassis_config,mileage (km),EV,hybrid,gas_system,steering_wheel,generation,restyling,price (rub),URL,body_type,mileage_rus,date,views_num,location,broken,no_doc,model_rating,description,with_photo,photo_url,salesman,tax (rub)
48595437,Mitsubishi,Pajero Sport,2017,синий,2.4D MT Invite,2.4,181,дизель,механика,4WD,66000,No,No,No,левый,3,NaN,2550000,https://vladivostok.drom.ru/mitsubishi/pajero_sport/48595437.html,NaN,No,16.11.2022,34,Владивосток,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/VbBqeChALAIpAZbTOTGsqtYEdF0rCaCsWH-7hPr_A_5DmiQ1k8JnvWwl8Y74xfaeidF-mN1Fc-PsQGHcGABa7gz3Y5iT.jpg,NaN,5068
48573714,Mitsubishi,Pajero Sport,2014,черный,NaN,2.5,178,дизель,АКПП,4WD,112000,No,No,No,левый,2,1,1700000,https://vladivostok.drom.ru/mitsubishi/pajero_sport/48573714.html,NaN,No,15.11.2022,101,Владивосток,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/KYlH3d3jqqLyOGp80KjJM-sqVIeRX4jFhTVRBDR9k7ejWc6IcYJrZtAR2qDduCZSMom6D--PdjIcYAyay4yYcgX214E6.jpg,owner,4984
48853127,Mitsubishi,Pajero Sport,2022,белый,NaN,3.0,216,бензин,АКПП,4WD,0,No,No,No,левый,NaN,NaN,4000000,https://vladivostok.drom.ru/mitsubishi/pajero_sport/48853127.html,NaN,No,15.11.2022,178,Владивосток,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/2tCWn6PTV7z-w44jD1r2xviHj-fRWlqA2maGfGJhQSVG6NDdGgcbzjzGWULBwOS_eYP6EZnLSZjAR1JWVRliYnbo596y.jpg,not official dealer,16200
47425135,Mitsubishi,Pajero Sport,2017,синий,NaN,2.4,181,дизель,АКПП,4WD,100285,No,No,No,левый,3,NaN,2530000,https://vladivostok.drom.ru/mitsubishi/pajero_sport/47425135.html,NaN,No,15.11.2022,118,Владивосток,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/iODhAR2lh1S7Z6iMa2EQlaB4IcOfwkFiznWDLBLZT0tuHaATd4VqfsadyhyJUrjnr-H7ZYMOt877Me3IVNdpNoc7yZup.jpg,NaN,5068
45517042,Mitsubishi,Pajero Sport,2009,черный,NaN,3.0,220,бензин,АКПП,4WD,168000,No,No,No,левый,2,NaN,1350000,https://vladivostok.drom.ru/mitsubishi/pajero_sport/45517042.html,NaN,No,15.11.2022,127,Владивосток,No,No,8.6,Yes,Yes,https://s.auto.drom.ru/photo/6z77KseWwgGvOZjTkmaLQyAgoILeV6VUNwRRxxd3fniolxpKdC0OSIOzKVsPsoiL2A0W7gJmxVSYi3TU_MJbMvoJCsxD.jpg,NaN,3960
