,random_sampling_simple_mean,random_sampling_stratified_mean,stratified_sampling_stratified_mean
cumped,190.15533262984894,143.88042223984155,484.4294480312644
cupac,235.67601930956678,331.41106403963164,629.436086658657
cuped,197.3436513630603,172.54987348930592,235.8595847493123
initial,648.3980715883627,326.93048560721974,371.9313555896462
