,random_sampling_simple_mean,random_sampling_stratified_mean,stratified_sampling_stratified_mean
cumped,0.0,0.0,0.0
cupac,0.0,0.0,0.0
cuped,0.0,0.0,0.0
initial,0.1,0.0,0.0
